Identificador, Nome da Galáxia, Tipo da Galáxia, Magnitude, Constelação
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
99999,vazio,vazio,0,vazio
